company,first_year,last_year,first_year_revenue,last_year_revenue,revenue_growth
AMZN,2009,2022,24509.0,513983.0,489474.0
AAPL,2009,2022,42905.0,394328.0,351423.0
GOOG,2009,2022,23651.0,282836.0,259185.0
MSFT,2009,2023,58437.0,211915.0,153478.0
INTC,2009,2022,35127.0,63054.0,27927.0
NVDA,2009,2023,3424.859,26974.0,23549.141
PYPL,2014,2022,8025.0,27518.0,19493.0
PCG,2009,2022,13399.0,21680.0,8281.0
MCD,2009,2022,22744.7,23182.6,437.89999999999782
BCS,2009,2022,45992.04,30868.08,-15123.96
AIG,2009,2022,75447.0,56437.0,-19010.0
SHLDQ,2009,2018,46770.0,16702.0,-30068.0
