company,category,year,revenue,gross_profit,gross_profit_margin,net_income,net_profit_margin,ebitda,ebitda_margin
MSFT,IT,2023,211915.0,146052.0,68.920085883491026,72361.0,34.1462,102384.0,48.313710685888211
NVDA,ELEC,2023,26974.0,15356.0,56.928894490991325,4368.0,16.1934,5768.0,21.3835545339957
PCG,Manufacturing,2022,21680.0,16824.0,77.601476014760152,1800.0,8.3026,5693.0,26.259225092250922
MSFT,IT,2022,198270.0,135620.0,68.4016744842891,72738.0,36.6863,97843.0,49.348363342916223
AIG,Bank,2022,56437.0,20762.0,36.787922816591951,10247.0,18.1565,20640.0,36.57175257366621
PYPL,FinTech,2022,27518.0,11653.0,42.346827531070574,2419.0,8.7906,5154.0,18.729558834217602
AAPL,IT,2022,394328.0,170782.0,43.309630561360088,99803.0,25.3096,130541.0,33.104674281308959
MCD,FOOD,2022,23182.6,13207.2,56.970313942353322,6177.4,26.6467,11241.6,48.491541069595307
BCS,BANK,2022,30868.08,30868.08,100.0,6212.949,21.162,1.0,0.003239592485182104
AMZN,LOGI,2022,513983.0,225152.0,43.805339865326289,-2722.0,-0.5296,54169.0,10.539064521589236
GOOG,IT,2022,282836.0,156633.0,55.379442503783118,59972.0,21.2038,90770.0,32.092802896378117
NVDA,ELEC,2022,26914.0,17475.0,64.92903321691314,9752.0,36.2339,11215.0,41.669762948651261
INTC,ELEC,2022,63054.0,26866.0,42.6079233672725,8014.0,12.7097,15369.0,24.374345798839091
PCG,Manufacturing,2021,20642.0,16261.0,78.776281368084483,-102.0,-0.4941,5286.0,25.607983722507509
NVDA,ELEC,2021,16675.0,10396.0,62.3448275862069,4332.0,25.979,5630.0,33.763118440779607
INTC,ELEC,2021,79024.0,43815.0,55.445181210771409,19868.0,25.1417,31248.0,39.54241749341972
MSFT,IT,2021,168088.0,115856.0,68.9258007710247,61271.0,36.4517,81602.0,48.547189567369472
AIG,Bank,2021,52057.0,15322.0,29.43312138617285,9359.0,17.9784,15382.0,29.548379660756481
PYPL,FinTech,2021,25371.0,11921.0,46.986717117969334,4169.0,16.4322,5527.0,21.784714831894682
MCD,FOOD,2021,23222.9,12580.2,54.171528964944081,7545.2,32.4903,12224.1,52.638128743610835
AMZN,LOGI,2021,469822.0,197478.0,42.0325144416396,33364.0,7.1014,59312.0,12.624355607017126
BCS,BANK,2021,30169.69,30169.69,100.0,8766.263,28.2167,1.0,0.0033145849360732582
GOOG,IT,2021,257637.0,146698.0,56.939802900980837,76033.0,29.5117,91155.0,35.38117584042665
AAPL,IT,2021,365817.0,152836.0,41.779359625167778,94680.0,25.8818,120233.0,32.86697993805646
AAPL,IT,2020,274515.0,104956.0,38.233247727810863,57411.0,20.9136,77344.0,28.174780977360069
INTC,ELEC,2020,77867.0,43612.0,56.008321882183722,20899.0,26.8394,35917.0,46.126086789012035
NVDA,ELEC,2020,10918.0,6768.0,61.9893753434695,2796.0,25.6091,3227.0,29.556695365451546
AIG,Bank,2020,43736.0,6912.0,15.803914395463693,-5973.0,-13.6569,6821.0,15.595847814157674
MSFT,IT,2020,143015.0,96937.0,67.781001992797968,44281.0,30.9625,65755.0,45.977694647414609
PCG,Manufacturing,2020,18469.0,14571.0,78.894363528074081,-1318.0,-7.1363,5223.0,28.279820239319942
PYPL,FinTech,2020,21454.0,10001.0,46.616015661415119,4202.0,19.5861,4478.0,20.872564556726019
GOOG,IT,2020,182527.0,97795.0,53.578374706207853,40269.0,22.0619,54921.0,30.089247070296448
AMZN,LOGI,2020,386064.0,152757.0,39.567791868705712,21331.0,5.5252,48079.0,12.453634630527581
MCD,FOOD,2020,19207.8,9752.101,50.771566759337361,4730.5,24.628,9075.4,47.248513624673308
BCS,BANK,2020,27947.54,27947.54,100.0,1959.384,9.0147,1.0,0.0035781324581698423
INTC,ELEC,2019,71965.0,42140.0,58.556242617939283,21048.0,29.2476,32861.0,45.662474814145767
MCD,FOOD,2019,21364.4,11179.4,52.327235962629416,6025.4,28.203,10687.7,50.025743760648552
GOOG,IT,2019,161857.0,89961.0,55.580543319102659,34343.0,21.2181,46012.0,28.427562601555696
AMZN,LOGI,2019,280522.0,114986.0,40.990011478600607,11588.0,4.1309,36330.0,12.950855904349748
MSFT,IT,2019,125843.0,82933.0,65.90195720063889,39240.0,31.1817,54641.0,43.41997568398719
NVDA,ELEC,2019,11716.0,7171.0,61.206896551724135,4141.0,35.3448,4066.0,34.704677364288159
PYPL,FinTech,2019,17772.0,7987.0,44.941480981318925,2459.0,13.8364,3631.0,20.43101507990097
PCG,Manufacturing,2019,17129.0,13300.0,77.646097261953415,-7656.0,-44.6961,-6860.0,-40.049039640375973
BCS,BANK,2019,27621.9,27621.9,100.0,4180.571,16.6024,1.0,0.0036203157639409312
AIG,Bank,2019,49746.0,11975.0,24.072287219072891,3326.0,6.686,11817.0,23.754673742612471
AAPL,IT,2019,260174.0,98392.0,37.817768109034724,55256.0,21.2381,76477.0,29.394559025882678
NVDA,ELEC,2018,9714.0,5822.0,59.934115709285564,3047.0,31.3671,3409.0,35.093679225859589
MCD,FOOD,2018,21257.9,10832.6,50.957996791780936,5924.3,27.8687,10304.6,48.474214292098466
GOOG,IT,2018,136819.0,77270.0,56.47607422945643,30736.0,22.4647,36559.0,26.720703995790057
MSFT,IT,2018,110360.0,72007.0,65.2473722363175,16571.0,15.0154,45319.0,41.064697354113811
AMZN,LOGI,2018,232887.0,93731.0,40.247416128852194,10073.0,4.3253,27762.0,11.920802792770743
PYPL,FinTech,2018,15451.0,7189.0,46.527732832826352,2057.0,13.3131,2970.0,19.222056824800983
SHLDQ,Finance,2018,16702.0,3527.0,21.117231469285116,-383.0,-2.2931,-52.0,-0.31133995928631303
PCG,Manufacturing,2018,16759.0,12260.0,73.154722835491384,-6851.0,-40.8795,-6664.0,-39.763709051852736
INTC,ELEC,2018,70848.0,43737.0,61.733570460704613,21053.0,29.7157,32401.0,45.733118789521228
AAPL,IT,2018,265595.0,101839.0,38.343718820007908,59531.0,22.4142,81801.0,30.799149080366721
BCS,BANK,2018,28212.33,28212.33,100.0,1860.711,7.0877,1.0,0.003544549493076254
AIG,Bank,2018,47389.0,6921.0,14.604655088733672,-6.0,-0.0127,6897.0,14.554010424360083
SHLDQ,Finance,2017,22138.0,4686.0,21.16722377811907,-2221.0,-10.0325,-1610.0,-7.2725630138223867
